更新时间,#genre#
20251215-03-59-30,url


blacklist,#genre#
CCTV1,https://stream1.freetv.fun/cctv1-63.ctv
CCTV1,http://218.86.184.71:8188/rtp/238.255.2.91:5999
CCTV1,http://14.110.103.248:4022/rtp/235.254.198.51:1480
CCTV1,http://223.10.164.178:8459/rtp/239.1.1.7:8007
CCTV1,http://125.80.157.49:7788/rtp/235.254.198.51:1480
CCTV1,P2p://generationnexxxt.com:19806/f774c5f8f72d4e209390429188acd251
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV1,http://111.162.205.11:8686/rtp/225.1.1.120:5002
CCTV2,https://stream1.freetv.fun/cctv2-63.ctv
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV1,http://114.254.38.135:18888/rtp/239.3.1.129:8008
CCTV1,http://118.78.196.109:55555/rtp/226.0.2.153:9136
CCTV1,http://106.118.20.156:8188/rtp/239.254.200.45:8008
CCTV1,http://106.59.3.73:55555/rtp/239.200.201.45:8800
CCTV1,http://106.59.3.73:55555/rtp/239.200.200.117:8712
CCTV1,http://106.59.3.73:55555/rtp/239.200.200.2:8080
CCTV1,http://106.59.3.73:55555/rtp/239.200.200.14:8852
CCTV1,http://114.107.47.211:8188/rtp/238.1.78.166:7200
CCTV1,http://175.164.140.99:4010/rtp/232.0.0.27:1234
CCTV2,http://218.86.184.71:8188/rtp/238.255.2.11:5999
CCTV1,http://111.162.207.134:8686/rtp/225.1.1.120:5002
CCTV1,http://61.159.134.127:4022/rtp/238.255.2.91:5999
CCTV1,http://61.159.135.161:18000/rtp/238.255.2.91:5999
CCTV1,http://114.100.195.195:4022/rtp/238.1.78.166:7200
CCTV2,http://223.10.164.178:8459/rtp/239.1.1.8:8008
CCTV1,http://1.195.219.92:8822/rtp/239.16.20.1:10010
CCTV1,http://36.46.98.77:8025/rtp/239.112.205.59:5140
CCTV2,P2p://generationnexxxt.com:19806/0ac8d786a0014639925eb3fd8aba2e4a
CCTV2,P2p://generationnexxxt.com:19806/69d668a50a2c4d55bc1adfbdf2f29bf7
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,https://stream1.freetv.fun/cctv3-62.ctv
CCTV3,http://218.86.184.71:8188/rtp/238.255.2.133:5999
CCTV2,http://111.162.205.11:8686/rtp/225.1.1.133:5002
CCTV3,http://14.110.103.248:4022/rtp/235.254.198.53:1488
CCTV3,http://223.10.164.178:8459/rtp/239.1.1.9:8009
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV2,http://114.100.195.195:4022/rtp/238.1.78.235:7752
CCTV3,http://125.80.157.49:7788/rtp/235.254.198.53:1488
CCTV3,P2p://generationnexxxt.com:19806/93e75aa9188847d48506d838ef24d3f5
