更新时间,#genre#
20251130-03-44-08,url


RespoTime,whitelist,#genre#
632.16ms,CCTV1,http://223.167.245.20:8001/rtp/239.45.3.145:5140
638.75ms,CCTV1,http://117.30.58.133:18888/rtp/239.61.3.61:9884
638.11ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.1:8008
634.33ms,CCTV1,http://114.107.44.60:8188/rtp/238.1.78.166:7200
637.61ms,CCTV1,http://36.46.98.172:8025/rtp/239.112.205.59:5140
636.20ms,CCTV1,http://111.162.206.38:8686/rtp/225.1.1.120:5002
638.05ms,CCTV1,http://180.105.201.177:9981/rtp/239.49.8.19:9614
637.93ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.81:8176
636.51ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.210:8068
634.42ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.194:4120
639.48ms,CCTV1,http://111.113.88.198:2000/rtp/239.121.4.113:8636
638.62ms,CCTV1,http://106.83.119.18:8188/rtp/235.254.198.51:1480
560.24ms,CCTV1,http://115.58.216.90:4000/rtp/225.1.4.73:1102
550.78ms,CCTV1,http://61.159.135.177:4022/rtp/238.255.2.91:5999
637.88ms,CCTV1,http://114.254.32.249:18888/rtp/239.3.1.129:8008
632.97ms,CCTV1,http://27.184.29.44:12312/rtp/239.254.200.45:8008
638.43ms,CCTV1,http://61.159.135.86:18000/rtp/238.255.2.91:5999
683.99ms,CCTV1,http://180.105.201.177:9981/rtp/239.49.8.129:6000
635.26ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.33:8002
635.16ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.53:8060
635.78ms,CCTV1,http://106.59.3.8:55555/rtp/239.200.200.2:8080
634.40ms,CCTV1,http://106.59.3.8:55555/rtp/239.200.201.45:8800
636.70ms,CCTV1,http://106.59.3.8:55555/rtp/239.200.200.14:8852
643.24ms,CCTV1,http://114.100.195.251:4022/rtp/238.1.78.166:7200
635.00ms,CCTV1,http://115.171.80.57:1688/rtp/225.1.8.126:8002
