🌐央视频道,#genre#


📡卫视频道,#genre#


🌆CGTN频道,#genre#

CGTN News,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN Documentary,http://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN Español,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN Français,http://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd.m3u8
CGTN Pусский,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
CGTN العربية,http://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd.m3u8

CGTN News,https://0472.org/hls/cgtn.m3u8
CGTN Documentary,https://0472.org/hls/cgtnd.m3u8
CGTN Español,https://0472.org/hls/cgtnx.m3u8
CGTN Français,https://0472.org/hls/cgtnf.m3u8
CGTN Pусский,https://0472.org/hls/cgtne.m3u8
CGTN العربية,https://0472.org/hls/cgtna.m3u8

CGTN News,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN News,https://english-livebkali.cgtn.com/live/encgtn.m3u8
CGTN News,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN News,http://112.27.235.94:8000/hls/17/index.m3u8
CGTN News,http://113.15.109.216:59901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0

CGTN Documentary,https://english-livebkali.cgtn.com/live/doccgtn.m3u8
CGTN Documentary,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN Documentary,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN Documentary,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8

📚CETV频道,#genre#

CETV1,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8
CETV2,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226537/1.m3u8
CETV4,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226997/1.m3u8

CETV1,http://114.100.195.251:4022/rtp/238.1.78.158:7136
CETV1,http://114.107.44.60:8188/rtp/238.1.78.158:7136
CETV1,http://114.254.32.249:18888/rtp/239.3.1.57:8152

CETV1,http://116.179.130.16:6001/rtp/226.0.2.181:9360
CETV1,http://61.159.135.86:18000/rtp/238.255.2.105:5999
CETV1,http://61.159.135.177:4022/rtp/238.255.2.105:5999
CETV1,http://tnvcn.com:8012/rtp/239.3.1.57:8152
CETV1,http://27.191.201.123:19999/rtp/239.254.200.225:6259
CETV1,http://106.116.241.95:9999/rtp/239.254.200.225:6259

CETV1,http://144.255.32.94:8288/rtp/239.21.2.7:5002
CETV1,http://171.125.90.120:6001/rtp/226.0.2.181:9360

CETV4,http://116.179.130.16:6001/rtp/226.0.2.70:8472
